city_id,city_name,latitude,longitude,date,temp,humidity,cloudiness,wind
4036284,Alofi,-19.06,-169.92,08/11/20,71.6,78.0,53.0,12.75
2047258,Novyy Urgal,51.07,132.56,08/11/20,58.8,94.0,100.0,1.88
2174444,Bowen,-20.02,148.23,08/11/20,55.17,93.0,0.0,5.82
3437022,San Pedro del Paraná,-26.83,-56.2,08/11/20,63.95,45.0,45.0,14.99
2094342,Kavieng,-2.57,150.8,08/11/20,82.4,74.0,86.0,6.76
3361934,Saldanha,-33.01,17.94,08/11/20,57.2,67.0,51.0,2.24
5847411,Kahului,20.89,-156.47,08/11/20,76.48,69.0,40.0,14.99
2092164,Lorengau,-2.02,147.27,08/11/20,81.84,76.0,94.0,5.68
1282256,Hithadhoo,-0.6,73.08,08/11/20,82.72,78.0,100.0,11.52
5364271,Laguna,38.42,-121.42,08/11/20,69.48,60.0,1.0,12.75
88533,Awjilah,29.11,21.29,08/11/20,95.13,18.0,0.0,8.41
3372783,Ponta Delgada,37.73,-25.67,08/11/20,75.2,60.0,20.0,13.87
2126199,Cherskiy,68.75,161.3,08/11/20,41.16,72.0,97.0,1.14
3945985,Camaná,-16.62,-72.71,08/11/20,63.73,62.0,50.0,8.72
3843123,Neuquén,-38.95,-68.06,08/11/20,53.6,32.0,0.0,12.75
2281120,Tabou,4.42,-7.35,08/11/20,77.11,73.0,87.0,12.53
1269177,Jashpurnagar,22.9,84.15,08/11/20,75.83,92.0,100.0,8.75
3628473,San Cristobal,7.77,-72.22,08/11/20,89.6,49.0,40.0,6.93
1735106,George Town,5.41,100.34,08/11/20,82.2,88.0,40.0,6.93
3713959,Bocas del Toro,9.33,-82.25,08/11/20,75.0,57.0,91.0,12.77
2027296,Aykhal,66.0,111.5,08/11/20,46.4,93.0,75.0,4.47
1256823,Seoni Mālwa,22.45,77.47,08/11/20,77.13,91.0,100.0,8.95
3471451,Arraial do Cabo,-22.97,-42.03,08/11/20,82.87,57.0,0.0,19.46
3932145,Pisco,-13.7,-76.22,08/11/20,62.78,77.0,90.0,5.82
1625929,Sungai Penuh,-2.08,101.38,08/11/20,66.07,92.0,50.0,2.26
1265014,Latur,18.4,76.58,08/11/20,73.85,87.0,99.0,12.39
3839307,Rawson,-43.3,-65.1,08/11/20,54.46,40.0,13.0,26.75
1261853,Narasannapeta,18.42,84.05,08/11/20,82.87,82.0,100.0,5.68
1090415,Chirongui,-12.93,45.15,08/11/20,75.2,78.0,75.0,10.29
4031637,Lavrentiya,65.58,-171.0,08/11/20,49.1,83.0,13.0,3.76
1253237,Verāval,20.9,70.37,08/11/20,82.47,84.0,100.0,20.15
60019,Eyl,7.98,49.82,08/11/20,77.7,71.0,100.0,29.66
4987617,Cadillac,44.25,-85.4,08/11/20,77.0,38.0,40.0,12.75
376332,Doka,13.52,35.77,08/11/20,77.47,74.0,97.0,4.18
3533462,Acapulco de Juárez,16.86,-99.89,08/11/20,87.8,70.0,40.0,3.36
525426,Sobolevo,54.43,31.9,08/11/20,59.22,80.0,20.0,7.7
1499779,Malinovoye Ozero,51.68,79.78,08/11/20,68.9,52.0,45.0,0.4
2077895,Alice Springs,-23.7,133.88,08/11/20,57.2,82.0,9.0,8.63
3374120,Vila do Maio,15.13,-23.22,08/11/20,84.2,54.0,75.0,17.22
3464724,Diamantino,-14.41,-56.45,08/11/20,99.86,18.0,0.0,3.47
1015776,Bredasdorp,-34.53,20.04,08/11/20,57.2,67.0,48.0,14.99
3628267,San Joaquin,10.26,-67.79,08/11/20,84.16,58.0,62.0,3.44
372884,Kapoeta,4.77,33.59,08/11/20,81.82,54.0,53.0,5.61
4535414,Durant,33.99,-96.37,08/11/20,91.76,52.0,75.0,8.05
2206874,Waipawa,-41.41,175.52,08/11/20,50.9,87.0,82.0,26.4
2377457,Nouadhibou,20.93,-17.03,08/11/20,77.0,69.0,28.0,21.92
3421719,Narsaq,60.92,-46.05,08/11/20,44.6,70.0,75.0,5.82
1490256,Talnakh,69.49,88.4,08/11/20,55.4,93.0,17.0,13.42
1495812,Ous,60.91,61.52,08/11/20,52.09,81.0,97.0,5.06
5018739,Bloomington,44.84,-93.3,08/11/20,78.35,47.0,20.0,12.75
3393692,Itarema,-2.92,-39.92,08/11/20,85.77,51.0,43.0,20.18
2171099,Codrington,-38.27,141.97,08/11/20,48.72,91.0,90.0,12.3
4034551,Faanui,-16.48,-151.75,08/11/20,76.91,82.0,2.0,19.82
2179825,Waitati,-45.75,170.57,08/11/20,44.01,89.0,41.0,10.0
2122090,Pevek,69.7,170.31,08/11/20,36.72,85.0,98.0,8.03
1853371,Ryōtsu-minato,38.08,138.43,08/11/20,80.6,83.0,75.0,4.7
485215,Synya,65.37,58.04,08/11/20,43.23,92.0,72.0,4.76
2121385,Severo-Kuril'sk,50.68,156.12,08/11/20,50.99,91.0,100.0,15.59
2013279,Vostok,46.49,135.88,08/11/20,60.48,100.0,20.0,5.61
5282297,Bethel,41.37,-73.41,08/11/20,86.31,66.0,20.0,10.29
2122389,Ossora,59.24,163.07,08/11/20,54.91,90.0,77.0,7.34
933995,Souillac,-20.52,57.52,08/11/20,69.8,49.0,40.0,5.82
3832899,Viedma,-40.81,-63.0,08/11/20,55.0,38.0,0.0,5.99
1798713,Pingshan,22.99,114.71,08/11/20,79.81,87.0,100.0,5.53
1337607,Kudahuvadhoo,2.67,72.89,08/11/20,83.53,71.0,82.0,6.08
5712169,Baker City,44.77,-117.83,08/11/20,73.29,31.0,1.0,3.36
1529102,Ürümqi,43.8,87.6,08/11/20,80.6,34.0,16.0,6.71
